user_id;user_login
196106;aabbey1
343571;acnethai
199939;actorsandcrew
396633;akachan
331941;anglicantv
389524;barandide
1251;bavc
228353;bluecanoerecords
276695;cariblifecentral
338545;celluloidremix
90562;ChefsLine
51257;chuckm
42340;claude besson
199052;Clif
53421;Cooking Up A Story
374768;CorrosionDC
162779;Coruway
260122;craigleach21
112708;crashsolo
129862;Critter
138005;culinarymedia
296083;Cutthroat Molloy
87494;dahowlett
430909;daterobertpattinson
7244;davidleeking
360881;deepintosports
22026;DetrimentalInformati
57753;DigitalFrontiers
106294;dinap830
69886;Dobro33H
53360;drinkart
1270;drinking with bob
304584;eclectone
358736;EconomyInCrisis
54095;eddiedotcom
11991;eduardoquezada
127039;eighthrs
234619;elinertv
280680;EngenderHealth
299413;etopianewsnow
69678;fbchattiesburg
193757;fcumtv
20406;Financial Aid Podcas
232141;francoventoso
371598;globaldyana
134286;golf
192871;Golf Life Tips
363296;gracebible
278591;griotgreg
99622;grollett
352447;guidonia
63250;gvtvnews
917;heywood
237460;hrocus
393580;InnerBonding
230711;ironmanrecords
132972;jak-e
93820;jasonheath
158059;jeff brooks
94191;JillForrest
280859;JamesCropcho
171352;johnlieberman
28296;KELLYTV
260044;labambola
199335;lauraflanders
89937;legourmettv
244902;lhgreene
303014;libationblog
288178;livingasiachannel
106558;lorenzosmusic
370983;luukdiphoorn
201852;maqex
159001;marcdavid
5290;marquisdejolie
342737;mcusa
283910;mdtmusic
119631;mediagrouptv
175213;MeetCleaverTheatre
322857;Menomenation
64446;Microdac
190870;mode2
68290;mtaatv
97487;muzik4machines
213982;nerdgasmic
103543;newsdate2011
377857;NickDutch
106434;nitaai
306578;oneteaaweek
181405;opiatefilms
82132;palau
150154;palau2
201753;patrizio_m
16989;PDXK
79574;petepo
204240;plus1tv
5035;poetminor158
58558;politicallunch
83988;PrivateLessons
97294;publicdomain
243469;QueerAsFaith
66378;repgeorgemiller
370320;ReViewMe
293211;rhayes
234237;rmc
189083;robmumble
236723;runadun
93913;RVO174
15523;sabbah
26241;Scene-Stealers
71486;scottyiseri
41099;SEEPROGRESS
438592;Seraphim Wines
37450;sgallasch
194767;SnitcherTV
60454;solique
49294;spcbrass
196720;SPI
96983;spindaily
446587;srnyclips
335;stevegarfield
264;studiomuscle
253171;stupidfamouspeople
229784;subfightercom
254609;SynchroTheatre
121515;talkradionewsservice
372405;Tasting Notes at District
184347;teatips
323785;thatsportsshow
211708;The Epic Season
307503;theexsmoker
113895;The JAMA REPORT
22253;The Ointment
362833;TheWineVault
394260;TLDM
48459;tooncast
328864;UBM
101222;Underlab
29951;useeblu
182708;VirginBob
3370;Wardy
64478;weldon
398838;WybaK
3758;wyshy
